state,district,lat,lon,uv_index_max,temperature_2m_mean,cloud_cover_mean,relative_humidity_2m_mean,sunshine_duration,precipitation_sum,et0_fao_evapotranspiration,temperature_2m_min,temperature_2m_max,shortwave_radiation_sum
Sarawak,Subis,4.0578322,113.8460823,7.9,27.52,89.83,85.98,11696775.63,1737.7,1387.44,24.61,31.76,6556.21
Sarawak,Tanjung Manis,2.1338299,111.335745,7.64,27.53,88.23,85.48,10976710.38,1739.4,1325.09,25.04,31.18,6280.09
Sarawak,Tatau,2.8777834,112.8523034,7.67,27.55,90.93,87.2,11110917.93,2438.7,1318.59,24.78,31.58,6239.67
Sarawak,Tebedu,1.0153805,110.3546347,7.65,27.26,87.66,85.36,11214744.98,1657.4,1343.97,24.32,31.13,6379.36
Sarawak,Telang Usan,3.31723,114.82583,8.05,25.95,89.25,85.07,11664902.64,3535.8,1438.91,22.57,30.64,6899.11
Selangor,Gombak,3.2330444,101.7145742,7.77,27.38,92.19,83.58,8912233.75,4544.7,1209.25,24.27,31.67,5537.67
Selangor,Klang,3.0448394,101.4447363,7.73,28.06,92.2,81.87,9050752.31,3808.5,1239.49,25.25,31.81,5619.39
Selangor,Kuala Langat,2.83656,101.49618,7.64,27.67,92.18,84.24,9157540.91,3711.1,1234.35,24.91,31.36,5712.32
Selangor,Kuala Selangor,3.3314558,101.2513058,7.69,28.15,92.38,82.55,9395075.91,3589.3,1294.3,25.93,30.85,6004.69
Selangor,Petaling,3.0988792,101.6454202,7.82,28.21,92.55,80.98,8993457.35,4767.8,1246.14,25.3,32.26,5582.84
Selangor,Sabak Bernam,3.7632801,100.9844791,7.75,27.77,93.0,83.96,9253684.77,3447.0,1289.66,24.92,31.55,5925.4
Selangor,Sepang,2.8008619,101.7094012,7.69,27.78,91.54,83.33,9306865.77,3383.5,1257.28,24.88,31.65,5791.89
Selangor,Ulu Langat,3.08333,101.83333,7.69,25.03,93.07,83.92,9007793.45,3498.4,1120.41,22.42,28.69,5329.82
Selangor,Ulu Selangor,3.53674,101.59493,7.75,27.38,92.19,83.58,8912821.68,4544.7,1209.26,24.27,31.67,5537.68
Terengganu,Besut,5.8283726,102.5561096,7.7,27.9,84.16,83.05,11480101.25,2511.7,1435.12,24.46,31.95,6604.25
Terengganu,Dungun,4.7643972,103.4184463,7.71,27.43,88.94,84.98,10476735.96,2725.1,1320.69,24.54,31.25,6156.13
Terengganu,Hulu Terengganu,4.91069,102.76507,7.61,26.21,89.63,81.9,9904793.85,2407.3,1276.41,23.48,30.03,5943.17
Terengganu,Kemaman,4.2193065,103.4225158,7.68,27.92,88.14,83.16,10689061.72,2592.4,1353.42,25.92,30.47,6329.44
Terengganu,Kuala Nerus,5.3953769,103.0623954,7.66,27.65,87.95,84.75,10730199.4,2870.9,1336.03,24.39,32.01,6156.4
Terengganu,Kuala Terengganu,5.3296461,103.1383265,7.71,27.6,88.08,84.06,10247081.47,2820.4,1294.33,24.28,32.03,5890.74
Terengganu,Marang,5.2067138,103.2050419,7.75,27.9,86.69,83.43,10899460.31,2723.2,1359.75,25.8,30.79,6399.46
Terengganu,Setiu,5.55008,102.73551,7.64,27.34,86.11,84.36,10694685.21,2637.4,1285.77,24.13,31.29,5970.55
W.P. Labuan,W.P. Labuan,5.28704,115.26461,8.03,28.14,83.56,82.72,12098522.28,2089.6,1523.96,26.07,31.62,7198.07
